mdm_id,lud
17332875,2020-03-25T05:35:30.613Z
17332897,2020-03-25T02:03:43.343Z
17332883,2020-03-24T22:00:59.381Z
17332922,2020-03-25T06:58:41.289Z
17332915,2020-03-25T01:09:20.290Z
17361348,2020-04-02T07:34:27.719Z
17361352,2020-03-25T02:12:41.256Z
17361350,2020-03-25T13:28:52.142Z
17361353,2020-03-25T06:00:20.608Z
17361359,2020-03-25T08:53:10.484Z
17361357,2020-03-25T04:34:18.455Z
17361364,2020-03-25T13:32:22.336Z
17361362,2020-03-25T01:15:40.368Z
17361369,2020-03-25T03:54:54.859Z
17361363,2020-03-25T03:22:30.215Z
17361365,2020-03-25T08:51:57.771Z
17361367,2020-03-25T06:07:48.144Z
17361381,2020-03-24T23:25:07.095Z
17361372,2020-03-24T22:03:55.662Z
17361373,2020-03-25T00:54:17.916Z
17361379,2020-03-25T02:21:35.410Z
17361371,2020-03-25T13:02:08.214Z
17361589,2020-03-25T01:17:58.210Z
17361591,2020-03-25T09:12:57.719Z
17361598,2020-03-25T13:59:31.099Z
17361597,2020-03-25T03:02:02.657Z
17361607,2020-03-24T21:54:18.540Z
17361601,2020-03-24T22:03:20.736Z
17361610,2020-03-25T13:33:15.435Z
17361614,2020-03-25T05:18:10.487Z
17361613,2020-03-25T00:54:25.443Z
5409747,2020-03-25T10:52:34.863Z
5414541,2020-03-25T06:40:00.417Z
5415565,2020-03-24T23:30:23.676Z
5418865,2020-03-25T11:22:43.212Z
5419729,2020-03-24T23:36:15.183Z
5419727,2020-03-25T00:40:49.497Z
5420498,2020-03-27T07:34:57.176Z
5423380,2020-04-01T18:23:04.253Z
5423842,2020-03-25T13:47:09.749Z
5426964,2020-03-25T00:15:02.833Z
5427784,2020-03-24T23:01:15.261Z
5430250,2020-03-25T00:10:28.585Z
5437747,2020-03-25T01:00:26.563Z
5439534,2020-03-25T03:47:40.766Z
5441558,2020-03-24T22:14:55.099Z
5447833,2020-03-25T11:41:59.897Z
5451064,2020-03-25T03:38:41.476Z
5451332,2020-03-24T23:27:44.985Z
5457092,2020-03-25T01:57:50.445Z
5459492,2020-03-25T02:52:43.960Z
5459677,2020-03-25T01:23:48.171Z
5470197,2020-03-25T04:03:40.628Z
5470363,2020-03-25T09:11:07.889Z
5473921,2020-03-25T07:26:31.538Z
5475164,2020-03-25T00:14:20.716Z
5484490,2020-03-25T01:06:35.204Z
5492543,2020-03-25T14:03:41.469Z
5494299,2020-03-25T10:43:49.555Z
5494509,2020-03-24T22:16:00.760Z
5501521,2020-03-24T22:39:05.418Z
5502991,2020-03-25T02:08:29.212Z
